name;ranking;puntos;partidos_jugados;partidos_ganados;partidos_perdidos;efectividad;racha_victorias;compañero;posicion;lugar nacimiento;fecha nacimiento;altura;residencia;partidos jugados 2021;partidos ganados 2021;efectividad 2021;campeon 2021;finalista 2021;semifinalista 2021;cuartos 2021;octavos 2021;dieciseisavos 2021;partidos jugados 2020;partidos ganados 2020;efectividad 2020;campeon 2020;finalista 2020;semifinalista 2020;cuartos 2020;octavos 2020;dieciseisavos 2020
Ariana Sánchez Fallada;1;12390;243;165;78;67,9;8;Paula Josemaría Martín;Revés;Reus;19/07/1997;1,65;Barcelona;4;4;100;1;0;0;0;0;0;36;28;77,78;3;2;3;3;0;0
Lucía Sainz Pelegri;2;11905;266;188;78;70,68;16;Beatriz González Fernández;Drive;Barcelona;05/10/1984;1,73;Barcelona;4;3;75;0;1;0;0;0;0;41;35;85,37;5;2;2;2;0;0
Alejandra Salazar Bengoechea;3;11750;275;221;54;80,36;16;Gemma Triay Pons;Drive;Madrid;31/12/1985;1,68;Madrid;3;2;66,67;0;0;1;0;0;0;36;28;77,78;3;2;3;3;0;0
Gemma Triay Pons;4;11665;250;176;74;70,4;16;Alejandra Salazar Bengoechea;Revés;Mahón;28/06/1992;1,73;Barcelona;0;0;0;0;0;0;0;0;0;41;35;85,37;5;2;2;2;0;0
Marta Marrero Marrero;5;10350;288;224;64;77,78;16;Marta Ortega Gallego;Revés;Las Palmas de Gran Canaria;16/01/1983;1,73;Barcelona;1;0;0;0;0;0;0;1;0;33;24;72,73;1;3;4;2;0;0
Paula Josemaría Martín;7;9235;143;81;62;56,64;7;Ariana Sánchez Fallada;Drive;Moraleja (Caceres);31/10/1996;1,60;Valladolid;4;4;100;1;0;0;0;0;0;33;24;72,73;1;3;2;4;0;0
Beatriz González Fernández;10;6465;134;78;56;58,21;6;Lucía Sainz Pelegri;Revés;Málaga;23/11/2001;1,74;Málaga;4;3;75;0;1;0;0;0;0;48;33;68,75;2;0;1;11;2;1
Patricia Llaguno Zielinski;11;6170;285;200;85;70,18;7;María Virginia Riera;Revés;Cartagena;25/02/1985;1,67;Madrid;3;2;66,67;0;0;0;1;0;0;35;24;68,57;0;1;3;6;1;0
Delfina Brea Senesi;14;3390;118;71;47;60,17;6;Tamara Icardo Alcorisa;Drive;Buenos Aires;05/12/1999;1,7;Madrid;50;35;70;2;1;6;8;0;0;34;19;55,88;1;0;0;3;8;4
Tamara Icardo Alcorisa;23;1828;137;58;79;42,34;3;Delfina Brea Senesi;Revés;Valencia;10/10/1995;1,78;Valencia;4;3;75;0;0;1;0;0;0;13;4;30,77;0;0;0;0;4;5
